"BehaviorSpace results (NetLogo 5.0.5)"
"/home/joel/Dropbox/Research/Philosophy of Science/Thinking with Models/Thinking-with-Models/autograde_sample/1/hw1_1.nlogo"
"prob2"
"08/21/2015 02:49:56:485 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-turtles","num-links","num-colored-patches","[step]","count turtles","[xcor] of turtles","[ycor] of turtles"
"1","10","50","300","0","4","[-10 10 10 -10]","[10 -10 10 -10]"
"1","10","50","300","1","4","[9 -9 -9 9]","[9 9 -9 -9]"
"1","10","50","300","2","4","[8 -8 7.999999999999999 -8]","[7.999999999999999 8 -8 -8]"
"1","10","50","300","3","4","[7 6.999999999999998 -7 -7]","[6.999999999999998 -7.000000000000001 -7 7]"
"1","10","50","300","4","4","[5.999999999999997 -6 -6 6]","[-6.000000000000002 6 -6 5.999999999999997]"
"1","10","50","300","5","4","[4.9999999999999964 5 -5 -5]","[-5.000000000000003 4.9999999999999964 5 -5]"
"1","10","50","300","6","4","[-3.9999999999999996 3.9999999999999996 -3.9999999999999996 3.999999999999996]","[3.9999999999999996 3.999999999999996 -3.9999999999999996 -4.0000000000000036]"
"1","10","50","300","7","4","[2.999999999999996 2.9999999999999996 -2.9999999999999996 -2.9999999999999996]","[-3.0000000000000036 2.999999999999996 -2.9999999999999996 2.9999999999999996]"
"1","10","50","300","8","4","[-1.9999999999999996 1.9999999999999996 -1.9999999999999996 1.999999999999996]","[1.9999999999999996 1.999999999999996 -1.9999999999999996 -2.0000000000000036]"
"1","10","50","300","9","4","[-0.9999999999999996 -0.9999999999999996 0.9999999999999996 0.9999999999999958]","[-0.9999999999999996 0.9999999999999996 0.9999999999999958 -1.0000000000000036]"
"1","10","50","300","10","4","[-4.440892098500626E-16 -4.496403249731884E-15 4.440892098500626E-16 5.551115123125783E-16]","[-4.496403249731884E-15 -3.7192471324942744E-15 5.551115123125783E-16 -4.440892098500626E-16]"
